t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
0.92,0.00044101538061198123,0.368,0.0002577577375488859,0.184,0.00021550714342117127,0.12266666666666666,0.00020302277560198256,0.092,0.0001970544591312299,0.0736,0.00019355801447184135,0.06133333333333333,0.00019126158383269307,0.046,0.00018842931923710352
0.9400000000000001,0.00044968069516709494,0.376,0.0002597718709422127,0.188,0.00021634750931495038,0.12533333333333332,0.0002035502242775948,0.094,0.0001974382926837441,0.0752,0.00019385957450659573,0.06266666666666666,0.00019150987033261918,0.047,0.0001886127470008934
0.96,0.00045851624486527965,0.384,0.00026180174152719857,0.192,0.0002171911519642863,0.128,0.00020407904316092343,0.096,0.00019782287383964214,0.07680000000000001,0.0001941616043365657,0.064,0.00019175847912563082,0.048,0.0001887963533125277
0.98,0.00046752537305273545,0.392,0.0002638474722431905,0.196,0.00021803808414407348,0.13066666666666665,0.00020460923581101792,0.098,0.00019820820405486148,0.0784,0.00019446410469354337,0.06533333333333333,0.00019200741063003348,0.049,0.00018898013834578223
1.0,0.0004767114886970017,0.4,0.0002659091869896052,0.2,0.0002188883186789956,0.13333333333333333,0.00020514080579616962,0.1,0.0001985942847881738,0.08,0.00019476707631046035,0.06666666666666667,0.00019225666526467603,0.05,0.00018916410227460276
1.02,0.00048607806767333306,0.40800000000000003,0.00026798701063342206,0.20400000000000001,0.00021974186844372117,0.13599999999999998,0.00020567375669393672,0.10200000000000001,0.0001989811175011931,0.0816,0.00019507051992138973,0.06799999999999999,0.00019250624344894948,0.051000000000000004,0.0001893482452731031
1.04,0.000495628654076216,0.41600000000000004,0.00027008106901673507,0.20800000000000002,0.00022059874636309716,0.13866666666666666,0.00020620809209116636,0.10400000000000001,0.00019936870365837685,0.08320000000000001,0.00019537443626154775,0.06933333333333333,0.00019275614560279114,0.052000000000000005,0.00018953256751556776
1.06,0.0005053668615565359,0.424,0.00027219148896436116,0.212,0.00022145896541234645,0.14133333333333334,0.00020674381558402017,0.106,0.00019975704472703556,0.0848,0.00019567882606729586,0.07066666666666667,0.0001930063721466815,0.053,0.00018971706917644983
1.08,0.0005152963746848809,0.432,0.0002743183982915078,0.216,0.0002223225386172608,0.144,0.00020728093077799773,0.108,0.00020014614217733385,0.0864,0.0001959836900761409,0.072,0.00019325692350164825,0.054,0.00018990175043037214
1.1,0.0005254209503414993,0.44,0.0002764619258115044,0.22,0.00022318947905440177,0.14666666666666667,0.00020781944128796256,0.11,0.00020053599748230187,0.08800000000000001,0.00019628902902674072,0.07333333333333333,0.0001935078000892632,0.055,0.00019008661145212847
1.12,0.0005357444191334125,0.448,0.0002786222013435876,0.224,0.00022405979985129368,0.14933333333333332,0.00020835935073816245,0.112,0.00020092661211783624,0.0896,0.0001965948436589008,0.07466666666666666,0.00019375900233164738,0.056,0.00019027165241668163
1.1400000000000001,0.0005462706868392407,0.456,0.00028079935572075454,0.228,0.0002249335141866274,0.152,0.00020890066276225887,0.114,0.00020131798756270637,0.0912,0.00019690113471358038,0.076,0.00019401053065146826,0.057,0.0001904568734991651
1.16,0.0005570037358822434,0.464,0.0002829935207976692,0.232,0.00022581063529045523,0.15466666666666667,0.00020944338100334754,0.116,0.00020171012529856223,0.09280000000000001,0.00019720790293289205,0.07733333333333334,0.00019426238547194248,0.058,0.00019064227487488268
1.18,0.0005679476268321537,0.47200000000000003,0.000285204829458639,0.23600000000000002,0.0002266911764443943,0.15733333333333333,0.00020998750911398455,0.11800000000000001,0.00020210302680993695,0.0944,0.00019751514906010402,0.07866666666666666,0.00019451456721683442,0.059000000000000004,0.00019082785671930842
1.2,0.0005791064999363531,0.48,0.0002874334156256449,0.24,0.00022757515098182477,0.16,0.00021053305075621073,0.12,0.00020249669358425514,0.096,0.00019782287383964214,0.08,0.00019476707631046035,0.06,0.00019101361920808777
1.22,0.0005904845766809461,0.488,0.00028967941426644227,0.244,0.00022846257228809286,0.16266666666666665,0.00021108000960157568,0.122,0.0002028911271118373,0.0976,0.0001981310780170915,0.08133333333333333,0.00019501991317768576,0.061,0.00019119956251703718
1.24,0.0006020861613823415,0.496,0.0002919429614027172,0.248,0.0002293534538007132,0.16533333333333333,0.00021162838933116412,0.124,0.0002032863288859044,0.09920000000000001,0.00019843976233919843,0.08266666666666667,0.00019527307824392787,0.062,0.0001913856868221434
1.26,0.0006139156428099,0.504,0.00029422419411831386,0.252,0.00023024780900957121,0.16799999999999998,0.00021217819363561832,0.126,0.00020368230040258573,0.1008,0.00019874892755387095,0.08399999999999999,0.0001955265719351554,0.063,0.00019157199229956478
1.28,0.0006259774958402857,0.512,0.00029652325056751816,0.256,0.00023114565145712865,0.17066666666666666,0.00021272942621516444,0.128,0.00020407904316092343,0.1024,0.00019905857441018416,0.08533333333333333,0.00019578039467789128,0.064,0.00019175847912563082
1.3,0.000638276283144101,0.52,0.00029884026998341413,0.26,0.0002320469947386278,0.17333333333333334,0.00021328209077963657,0.13,0.0002044765586628774,0.10400000000000001,0.00019936870365837685,0.08666666666666667,0.00019603454689920974,0.065,0.00019194514747684316
1.32,0.000650816656905461,0.528,0.00030117539268629693,0.264,0.00023295185250229428,0.176,0.00021383619104850323,0.132,0.0002048748484133315,0.1056,0.00019967931604985892,0.088,0.00019628902902674072,0.066,0.00019213199752987555
